'Commune';'numero';;;
'Ablon-sur-Seine';1;en-marche-a-villeneuve-le-roi-et-ablon-sur-seine;;
'Alfortville';2;alfortville;;
'Arcueil';3;arcueil-et-cachan-en-marche;;
'Boissy-Saint-Léger';4;la-republique-en-marche-boissy;;
'Bonneuil-sur-Marne';11;creteil-bonneuil-en-marche;la-republique-en-marche-bonneuil;en-marche-de-bonneuil-sur-marne
'Bry-sur-Marne';15;bry-en-marche;les-bryards-en-marche;
'Cachan';16;arcueil-et-cachan-en-marche;;
'Champigny-sur-Marne';17;champigny-la-republique-en-marche;;
'Charenton-le-Pont';18;en-marche-charenton-liberte;charenton-bercy-quai-des-carrieres;charenton-ecoles
'Chennevières-sur-Marne';19;saint-maur-chennevieres-en-marche;;
'Chevilly-Larue';21;la-republique-en-marche-chevilly-la-rue;;
'Choisy-le-Roi';22;choisy-en-marche-1;comite-local-de-choisy-le-roi;
'Créteil';28;en-marche-creteil-447;creteil-bonneuil-en-marche;comite-en-ligne-du-val-de-marne
'Fontenay-sous-Bois';33;comite-local-fontenay-sous-bois;;
'Fresnes';34;larem-fresnes;en-marche-fresnes94;
'Gentilly';37;gentilly-en-marche;;
'Ivry-sur-Seine';41;en-marche-ivry-sur-seine;on-marche-a-ivry-sur-seine;
'Joinville-le-Pont';42;joinville-en-marche;;
'L'Haÿ-les-Roses';38;l-hay-les-roses-la-republique-en-marche;;
'La Queue-en-Brie';60;la-queue-en-brie;;
'Le Kremlin-Bicêtre';43;en-marche-le-kremlin-bicetre;;
'Le Perreux-sur-Marne';58;en-marche-avec-le-perreux;le-perreux-sur-marne;le-perreux-la-republique-en-marche
'Le Plessis-Trévise';59;en-marche-94420;;
'Limeil-Brévannes';44;limeil-brevannes;;
'Maisons-Alfort';46;la-republique-en-marche-maisons-alfort;;
'Mandres-les-Roses';47;;;
'Marolles-en-Brie';48;marolles-plateau-briard;;
'Nogent-sur-Marne';52;agir-a-nogent-la-republique-en-marche;nogent-en-marche;nogent-la-republique-en-marche
'Noiseau';53;;;
'Orly';54;une-nouvelle-ere-la-rem-orly;;
'Ormesson-sur-Marne';55;ormesson-sur-marne-en-marche;;
'Périgny';56;;;
'Rungis';65;en-marche-rungis;;
'Saint-Mandé';67;saint-mande-en-marche;;
'Saint-Maur-des-Fossés';68;en-marche-saint-maur;;
'Saint-Maurice';69;comite-enmarche-saint-maurice;en-marche-val-de-marne;saint-maur-chennevieres-en-marche
'Santeny';70;;;
'Sucy-en-Brie';71;sucy-en-marche;;
'Thiais';73;Thiais-en-marche;;
'Valenton';74;rem-villeneuve-valenton;;
'Villecresnes';75;villecresnes-en-marche;;
'Villejuif';76;en-marche-villejuif-nord;en-marche-villejuif;comite-en-marche-villejuif-sud
'Villeneuve-Saint-Georges';78;;;
'Villeneuve-le-Roi';77;en-marche-a-villeneuve-le-roi-et-ablon-sur-seine;villeneuve-le-roi;
'Villiers-sur-Marne';79;comite-de-villiers-sur-marne;;
'Vincennes';80;vincennes-la-republique-en-marche;transition-ecologique-en-marche-94;
'Vitry-sur-Seine';81;vitry-en-marche;;
